project_a,project_b,shared_contributors,shared_contributor_count,fork_related,fork_note,shared_org,creation_date_diff_days,template_evidence,cross_references,issues,verdict
ANTsX/ANTsTorch,MR-HosseinzadehTaher/BenchmarkTransferLearning,none,0,FALSE,Neither is a fork,none,680,none,none,none,PASS
ANTsX/ANTsTorch,LucaGeminiani00/Diffusion-Distillation-WL,none,0,FALSE,Neither is a fork,none,512,none,none,none,PASS
ANTsX/ANTsTorch,AidinHamedi/Pytorch-Img-Classification-Trainer-V2,none,0,FALSE,Neither is a fork,none,748,none,none,none,PASS
ANTsX/ANTsTorch,aminK8/TaxaDiffusion,none,0,FALSE,Neither is a fork,none,701,none,none,none,PASS
ANTsX/ANTsTorch,gokhaneraslan/chatterbox-finetuning,none,0,FALSE,Neither is a fork,none,887,none,none,none,PASS
ANTsX/ANTsTorch,iflytek/cino,none,0,FALSE,Neither is a fork,none,616,none,none,none,PASS
ANTsX/ANTsTorch,jorshi/flucoma-torch,none,0,FALSE,Neither is a fork,none,732,none,none,none,PASS
ANTsX/ANTsTorch,ewijaya/gflownet-peptide,none,0,FALSE,Neither is a fork,none,914,none,none,none,PASS
ANTsX/ANTsTorch,nick8592/lane-detection-unet-ncnn,none,0,FALSE,Neither is a fork,none,805,none,none,none,PASS
ANTsX/ANTsTorch,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,1129,none,none,none,PASS
ANTsX/ANTsTorch,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,1581,none,none,none,PASS
ANTsX/ANTsTorch,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,471,none,none,none,PASS
ANTsX/ANTsTorch,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,728,none,none,none,PASS
ANTsX/ANTsTorch,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,916,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,LucaGeminiani00/Diffusion-Distillation-WL,none,0,FALSE,Neither is a fork,none,1192,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,AidinHamedi/Pytorch-Img-Classification-Trainer-V2,none,0,FALSE,Neither is a fork,none,1429,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,aminK8/TaxaDiffusion,none,0,FALSE,Neither is a fork,none,1382,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,gokhaneraslan/chatterbox-finetuning,none,0,FALSE,Neither is a fork,none,1568,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,iflytek/cino,none,0,FALSE,Neither is a fork,none,64,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,jorshi/flucoma-torch,none,0,FALSE,Neither is a fork,none,1413,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,ewijaya/gflownet-peptide,none,0,FALSE,Neither is a fork,none,1595,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,nick8592/lane-detection-unet-ncnn,none,0,FALSE,Neither is a fork,none,1486,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,448,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,901,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,1152,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,1409,none,none,none,PASS
MR-HosseinzadehTaher/BenchmarkTransferLearning,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,1597,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,AidinHamedi/Pytorch-Img-Classification-Trainer-V2,none,0,FALSE,Neither is a fork,none,237,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,aminK8/TaxaDiffusion,none,0,FALSE,Neither is a fork,none,190,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,gokhaneraslan/chatterbox-finetuning,none,0,FALSE,Neither is a fork,none,376,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,iflytek/cino,none,0,FALSE,Neither is a fork,none,1127,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,jorshi/flucoma-torch,none,0,FALSE,Neither is a fork,none,221,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,ewijaya/gflownet-peptide,none,0,FALSE,Neither is a fork,none,403,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,nick8592/lane-detection-unet-ncnn,none,0,FALSE,Neither is a fork,none,294,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,1640,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,2092,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,40,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,217,none,none,none,PASS
LucaGeminiani00/Diffusion-Distillation-WL,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,405,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,aminK8/TaxaDiffusion,none,0,FALSE,Neither is a fork,none,46,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,gokhaneraslan/chatterbox-finetuning,none,0,FALSE,Neither is a fork,none,140,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,iflytek/cino,none,0,FALSE,Neither is a fork,none,1364,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,jorshi/flucoma-torch,none,0,FALSE,Neither is a fork,none,15,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,ewijaya/gflownet-peptide,none,0,FALSE,Neither is a fork,none,166,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,nick8592/lane-detection-unet-ncnn,none,0,FALSE,Neither is a fork,none,57,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,1876,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,2329,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,276,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,20,none,none,none,PASS
AidinHamedi/Pytorch-Img-Classification-Trainer-V2,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,168,none,none,none,PASS
aminK8/TaxaDiffusion,gokhaneraslan/chatterbox-finetuning,none,0,FALSE,Neither is a fork,none,186,none,none,none,PASS
aminK8/TaxaDiffusion,iflytek/cino,none,0,FALSE,Neither is a fork,none,1317,none,none,none,PASS
aminK8/TaxaDiffusion,jorshi/flucoma-torch,none,0,FALSE,Neither is a fork,none,31,none,none,none,PASS
aminK8/TaxaDiffusion,ewijaya/gflownet-peptide,none,0,FALSE,Neither is a fork,none,213,none,none,none,PASS
aminK8/TaxaDiffusion,nick8592/lane-detection-unet-ncnn,none,0,FALSE,Neither is a fork,none,104,none,none,none,PASS
aminK8/TaxaDiffusion,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,1829,none,none,none,PASS
aminK8/TaxaDiffusion,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,2282,none,none,none,PASS
aminK8/TaxaDiffusion,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,230,none,none,none,PASS
aminK8/TaxaDiffusion,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,27,none,none,none,PASS
aminK8/TaxaDiffusion,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,215,none,none,none,PASS
gokhaneraslan/chatterbox-finetuning,iflytek/cino,none,0,FALSE,Neither is a fork,none,1503,none,none,none,PASS
gokhaneraslan/chatterbox-finetuning,jorshi/flucoma-torch,none,0,FALSE,Neither is a fork,none,155,none,none,none,PASS
gokhaneraslan/chatterbox-finetuning,ewijaya/gflownet-peptide,none,0,FALSE,Neither is a fork,none,27,none,none,none,PASS
gokhaneraslan/chatterbox-finetuning,nick8592/lane-detection-unet-ncnn,none,0,FALSE,Neither is a fork,none,82,none,none,none,PASS
gokhaneraslan/chatterbox-finetuning,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,2015,none,none,none,PASS
gokhaneraslan/chatterbox-finetuning,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,2468,none,none,none,PASS
gokhaneraslan/chatterbox-finetuning,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,416,none,none,none,PASS
gokhaneraslan/chatterbox-finetuning,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,159,none,none,none,PASS
gokhaneraslan/chatterbox-finetuning,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,29,none,none,none,PASS
iflytek/cino,jorshi/flucoma-torch,none,0,FALSE,Neither is a fork,none,1349,none,none,none,PASS
iflytek/cino,ewijaya/gflownet-peptide,none,0,FALSE,Neither is a fork,none,1531,none,none,none,PASS
iflytek/cino,nick8592/lane-detection-unet-ncnn,none,0,FALSE,Neither is a fork,none,1422,none,none,none,PASS
iflytek/cino,ternaus/midv-500-models,none,0,FALSE,Neither is a fork,none,512,none,none,none,PASS
iflytek/cino,haowei01/pytorch-examples,none,0,FALSE,Neither is a fork,none,964,none,none,none,PASS
iflytek/cino,soran-ghaderi/torchebm,none,0,FALSE,Neither is a fork,none,1088,none,none,none,PASS
iflytek/cino,AnInsomniacy/tracknet-series-pytorch,none,0,FALSE,Neither is a fork,none,1345,none,none,none,PASS
iflytek/cino,KuchikiRenji/vall-e,none,0,FALSE,Neither is a fork,none,1533,none,none,none,PASS
