project_a,project_b,domain_a,domain_b,pair_type,full_sensitive,filtered_sensitive,effect_sensitive,full_standard,filtered_standard,effect_standard,full_strict,filtered_strict,effect_strict
ANTsTorch,BenchmarkTransferLearning,CV,CV,within-domain,0.5311,0.4414,0.0897,0.1083,0.0354,0.0729,0.0012,0.0032,-0.002
ANTsTorch,Diffusion-Distillation-WL,CV,Generative,cross-domain,0.5999,0.3718,0.2281,0.1183,0.0333,0.0849,0.0042,0.0055,-0.0012
ANTsTorch,Pytorch-Img-Classification-Trainer-V2,CV,CV,within-domain,0.1636,0.1469,0.0167,0.0268,0.0233,0.0035,0.0,0.0,0.0
ANTsTorch,TaxaDiffusion,CV,CV,within-domain,0.3149,0.2739,0.041,0.0518,0.0288,0.023,0.0,0.0,0.0
ANTsTorch,chatterbox-finetuning,CV,NLP,cross-domain,0.6888,0.3963,0.2926,0.1175,0.0328,0.0847,0.002,0.0,0.002
ANTsTorch,cino,CV,NLP,cross-domain,0.137,0.0762,0.0608,0.0185,0.0138,0.0047,0.0,0.0,0.0
ANTsTorch,flucoma-torch,CV,Audio,cross-domain,0.1961,0.3235,-0.1274,0.0288,0.0308,-0.002,0.0,0.0,0.0
ANTsTorch,gflownet-peptide,CV,Other,cross-domain,0.6661,0.5169,0.1492,0.0983,0.0581,0.0402,0.0016,0.0029,-0.0013
ANTsTorch,lane-detection-unet-ncnn,CV,CV,within-domain,0.2111,0.2195,-0.0085,0.0449,0.0273,0.0176,0.0,0.0,0.0
ANTsTorch,midv-500-models,CV,CV,within-domain,0.1022,0.1242,-0.022,0.0143,0.0121,0.0022,0.0,0.0,0.0
ANTsTorch,pytorch-examples,CV,Tabular,cross-domain,0.4146,0.3435,0.0711,0.1154,0.0637,0.0518,0.0,0.0,0.0
ANTsTorch,torchebm,CV,Generative,cross-domain,0.4311,0.2498,0.1812,0.0813,0.0397,0.0416,0.0,0.0,0.0
ANTsTorch,tracknet-series-pytorch,CV,CV,within-domain,0.3413,0.3542,-0.0129,0.0738,0.0583,0.0155,0.0,0.0,0.0
ANTsTorch,vall-e,CV,NLP,cross-domain,0.2213,0.2369,-0.0156,0.0409,0.0307,0.0102,0.0,0.0,0.0
BenchmarkTransferLearning,Diffusion-Distillation-WL,CV,Generative,cross-domain,0.4146,0.2634,0.1512,0.1071,0.0538,0.0533,0.0066,0.0046,0.002
BenchmarkTransferLearning,Pytorch-Img-Classification-Trainer-V2,CV,CV,within-domain,0.0897,0.0805,0.0092,0.0187,0.0078,0.0109,0.0,0.0,0.0
BenchmarkTransferLearning,TaxaDiffusion,CV,CV,within-domain,0.1946,0.185,0.0096,0.0393,0.0189,0.0204,0.0,0.0,0.0
BenchmarkTransferLearning,chatterbox-finetuning,CV,NLP,cross-domain,0.5362,0.2941,0.2421,0.1363,0.0496,0.0867,0.0013,0.0034,-0.0021
BenchmarkTransferLearning,cino,CV,NLP,cross-domain,0.0762,0.0565,0.0198,0.027,0.01,0.017,0.0,0.0,0.0
BenchmarkTransferLearning,flucoma-torch,CV,Audio,cross-domain,0.1162,0.202,-0.0858,0.0218,0.0196,0.0023,0.0,0.0,0.0
BenchmarkTransferLearning,gflownet-peptide,CV,Other,cross-domain,0.5288,0.4922,0.0367,0.123,0.0585,0.0645,0.0096,0.0126,-0.003
